metacritic_id;image_link
300;https://media.rawg.io/media/screenshots/9c2/9c2a0df3a0cd09ed762f2265bf77c217.jpg
302;https://media.rawg.io/media/screenshots/1e3/1e3bb6ff012c46e089974c6bf05d83b9.jpg
304;https://media.rawg.io/media/screenshots/6ae/6ae14764347d35e3c1eb324a727c43e9.jpg
307;https://media.rawg.io/media/screenshots/944/944933ddfb27a6ebc1c3e4c3ee250503.jpg
309;https://media.rawg.io/media/screenshots/841/841b827812b7e2bf8b00cd200f35406d.jpg
311;https://media.rawg.io/media/games/045/0457f748c9492261ccb46147edf9c761.jpg
312;https://media.rawg.io/media/screenshots/1d8/1d8150ac710f02e205c90a392a5374a4.jpg
313;https://media.rawg.io/media/games/a6c/a6ccd34125c594abf1a9c9821b9a715d.jpg
314;https://media.rawg.io/media/screenshots/7b8/7b895a3bbaacd8f50ce3c3851a68d0f5.jpg
315;https://media.rawg.io/media/games/609/6093bea01151a43078264e33e91bbf83.jpg
317;https://media.rawg.io/media/screenshots/49d/49dc122c2399e5cd749d1fddf5125f41.jpg
318;https://media.rawg.io/media/screenshots/990/990cc0c5baf3729122b9061c4ff80404.jpg
325;https://media.rawg.io/media/games/4cb/4cb855e8ef1578415a928e53c9f51867.png
326;https://media.rawg.io/media/games/d9d/d9d6c3327fea9e830b17985f72db64e6.jpg
327;https://media.rawg.io/media/games/e97/e976cbf6e564dbb27b43ecd4243a0b2e.jpg
328;https://media.rawg.io/media/games/54d/54d0c8e2fc9f21738dda666c093e59cc.jpg
329;https://media.rawg.io/media/games/9d8/9d88739254a63a59352f3c27a9c5d694.jpg
330;https://media.rawg.io/media/games/2fd/2fd22c97f779363102e7a5d8e4306ebf.jpg
332;https://media.rawg.io/media/games/0fc/0fc9e7cce8ddb4225cfee49b1f928601.jpg
333;https://media.rawg.io/media/screenshots/176/17613dde6b1cb617094df71d1fab419b_reMMm3J.jpg
335;https://media.rawg.io/media/screenshots/d52/d5206a84ee1f945481a4ae478b041238.jpg
336;https://media.rawg.io/media/games/d7a/d7a0b26300950a33921ee3eab2b0cc33.jpg
337;https://media.rawg.io/media/games/a84/a846f9856148eb2822d7b3974e3f7db5.jpg
338;https://media.rawg.io/media/games/811/81198c22fca74f1acd8a1ac587c5de86.jpg
340;https://media.rawg.io/media/games/b17/b17485d757ca36b5f1ad376b6b096885.jpg
341;https://media.rawg.io/media/screenshots/9b0/9b00db1af9691e028fa39c4ac85bb19c.jpg
342;https://media.rawg.io/media/games/e49/e49256363789d1dec316edf8ebb27ccf.jpg
343;https://media.rawg.io/media/screenshots/ab1/ab1800c2f46aec115be6a716b1493f79.jpg
345;https://media.rawg.io/media/games/71e/71e614ea7d41d28239f88caf86cfd7e6.jpg
346;https://media.rawg.io/media/games/15c/15c95a4915f88a3e89c821526afe05fc.jpg
348;https://media.rawg.io/media/screenshots/67d/67d82ca9063d1626b73d34361ae5e70d.jpg
349;https://media.rawg.io/media/screenshots/4bc/4bc75319da5601d337452ca0462255ab.jpg
350;https://media.rawg.io/media/screenshots/bc0/bc02ade70c7d92900b1f4950f4c845ba.jpg
351;https://media.rawg.io/media/games/9c5/9c5bc0b6e67102bc96dcf1ba41509e42.jpg
353;https://media.rawg.io/media/screenshots/aba/aba305582ea5fdd51451788ee43077f0.jpg
